week 2,Duty of Counsel to Clients ," Mr. Z, a legal practitioner, is asked by a client to represent him in a criminal trial for armed robbery. The client admits to Mr. Z in private that he actually committed the robbery but wants Z to plead ""not guilty"" and argue his innocence in court. What should Mr. Z do? ", He must withdraw immediately because he cannot represent a guilty person. ," He can plead ""not guilty"" but cannot call false evidence or argue a positive defence he knows to be false. ", He must report the confession to the judge. ," He must convince the client to plead ""guilty"" or he will face professional discipline. ", B ," A confidential disclosure of guilt does not require withdrawal, but under Rule 15(3)(f), a lawyer cannot knowingly use perjured evidence or a false defence; he may however test the prosecution's case to see if it meets the burden of proof [9, 10]."
week 2,Duty of Counsel to Clients ," Alhaji Musa, a billionaire, wants to hire a top-tier lawyer, Mrs. Williams, to take instructions at his private residence because he is ""too busy"" to visit a law office. Musa is in perfect health and is not under any legal restriction. What is the ethical position for Mrs. Williams? ", She should go to his house since he is a high-paying client. , She should not call at the client's house for advice or instructions unless there are special circumstances or urgency. , She can go if she takes her secretary along as a witness. , She must only meet him in a hotel lobby to avoid violating the rules. , B ," Rule 22 of the RPC states that a lawyer should not call at a client's house or place of business for advice or instructions except in special circumstances like extreme old age, infirmity, or custody [11, 12]."
week 2,Duty of Counsel to Clients ," Barrister Tolu collects 15 million Naira as a judgment debt on behalf of his client. Since he is currently renovating his own house and needs urgent cash, he deposits the money into his personal savings account, intending to pay the client back after his next big fee comes in. What duty has he breached? ", Duty of competence , Duty of dedication , Duty to deal with client's property honestly and separately , Duty to accept brief , C ," Rule 23(2) of the RPC provides that a lawyer who collects money for his client shall not mix such money with his own and must report and account for it promptly [11, 13]."
week 2,Duty of Counsel to Clients ," A legal practitioner, Mr. Effiong, is representing a plaintiff in a land suit. Halfway through the trial, Effiong realizes that he was a witness to the original survey agreement and his testimony is essential to prove the case. What is the proper course of action? ", He should continue as counsel and also testify as a witness. , He should withdraw from the case and let another lawyer handle the trial while he testifies as a witness. , He should refuse to testify to protect the attorney-client relationship. , He should ask the judge to decide based on his oral arguments without his testimony. , B ," Rule 20 of the RPC provides that a lawyer should not accept employment if he knows he or a lawyer in his firm may be a witness; if he discovers this during trial, he should withdraw from the case [14, 15]."
week 2,Duty of Counsel to Clients ," Chief Benson retains Barrister Amina for a civil litigation matter. After two hearings, Benson informs Amina that he is changing his lawyer to Barrister Kunle. Amina refuses to hand over the case file until her outstanding fees are fully paid. Is she within her rights? "," No, she must hand over everything to the new lawyer immediately. "," Yes, a lawyer has a lien on the papers or documents of his client in respect of unpaid fees. "," No, she can only withhold the client's original title deeds but not the correspondence. "," Yes, but only if she gets a court order to withhold the files. ", B ," Under Rule 29(3)(c) of the RPC, the former lawyer is entitled to a lien on the papers or documents of his client in respect of unpaid fees [16, 17]."
week 2,Duty of Counsel to Clients ," A new legal practitioner, Joy, is approached to handle a complex international oil and gas arbitration. Joy has no experience in this field and knows she is not competent to handle it alone. What should she do to comply with ethical rules? ", Decline the brief immediately. , Accept the brief and learn on the job using AI tools. ," Handle the matter but associate with a lawyer who is competent in that field, unless the client objects. ", Charge a lower fee to compensate for her lack of experience. , C ," Rule 16(1)(a) of the RPC prohibits a lawyer from handling a legal matter they are not competent to handle without associating with a lawyer who is competent, unless the client objects [18, 19]."
week 2,Duty of Counsel to Clients ," Barrister Segun is representing a client in a debt recovery suit. During the pendency of the case, Segun enters into an agreement with the client to buy the very property that is the subject of the litigation. Does this constitute professional misconduct? "," No, as long as he pays the market value for the property. "," Yes, a lawyer shall not acquire proprietary interest in the subject matter of litigation he is conducting. "," No, because it ensures he is motivated to win the case. "," Yes, unless the opposing counsel also agrees to the sale. ", B , Rule 17(3) of the RPC provides that a lawyer shall not acquire proprietary interest in the cause of action or subject matter of litigation which he is conducting for a client [20].
week 2,Duty of Counsel to Clients ," A client instructs his lawyer, Barrister Eze, to prepare a deed of assignment for a land transaction. The client explicitly tells Eze to ""backdate"" the document by two years to avoid a new tax law. Eze complies. What is the ethical implication? ", Eze has acted correctly by following his client's instructions. , Eze has breached his duty to represent the client within the bounds of the law. , Eze is protected by attorney-client privilege. ," Eze has only committed a minor clerical error, not misconduct. ", B ," Rule 15(1) and (2) of the RPC state that a lawyer's first duty is to uphold the law and he must keep strictly within the law notwithstanding any contrary instruction from the client [21, 22]."
week 2,Duty of Counsel to Clients ," Barrister Kemi represents a defendant in a criminal case. She enters into an agreement with the client that she will only be paid if the client is acquitted. If the client is found guilty, she gets nothing. Is this arrangement valid? "," Yes, this is a valid contingent fee arrangement. "," No, a lawyer shall not enter into an arrangement to charge or collect a contingent fee for representing a defendant in a criminal case. "," Yes, provided the agreement is in writing. "," No, unless the judge approves the success fee in advance. ", B ," Rule 50(2) of the RPC specifically prohibits a lawyer from entering into an arrangement to charge or collect a contingent fee for representing a defendant in a criminal case [23, 24]."
week 2,Duty of Counsel to Clients ," A client informs his lawyer, Mr. Wale, that he has just committed a massive fraud against a federal agency. Wale has already finished the work for this client and the relationship has ended. Can Wale reveal this information to the agency? "," Yes, because fraud is a crime. "," No, because the communication was made in the course of professional employment and is privileged. "," Yes, because the relationship has ended and privilege no longer applies. "," No, unless the agency pays Wale a reward for the information. ", B , Rule 19 of the RPC and Section 192 of the Evidence Act protect communications made in the course of professional employment; privilege continues even after the relationship has terminated [25-27]."
week 2,Duty of Counsel to Clients ," Barrister Ngozi is representing a client in a case against ""Company A."" She later discovers that her law partner, Mr. John, is currently representing ""Company A"" in an unrelated tax matter. What is the ethical requirement here? ", They can continue as long as they don't discuss the case. ," Ngozi must disclose the conflict to the client and obtain consent, as the rules on conflict of interest extend to partners. ", Only Ngozi needs to withdraw; Mr. John can continue. , No disclosure is needed since the two matters are unrelated. , B ," Rule 17(1) and (6) of the RPC require disclosure of interests that might influence the client's selection of the lawyer, and these rules extend to the lawyer's partners and associates [20, 28, 29]."
week 2,Duty of Counsel to Clients ," A legal practitioner, Mr. Adams, is assigned a pro bono case by the Legal Aid Council. Adams decides not to prepare for the case or attend the trial since he is not being paid. What rule has he breached? ", Rule 24 on the Cab Rank Rule , Rule 52 on undercutting , Rule 14 on dedication and Rule 16 on competence , Rule 7 on engaging in business , C ," Under Rule 14 and 16, a lawyer must devote expertise and energy to the service of his client; Section 9(1) of the LPA makes a lawyer liable for negligence regardless of whether services are provided for a fee or pro bono [1, 2, 17, 30]."
